Usia,Angsuran,Pendapatan,Tenor,OTR,Uang_Muka,Pekerjaan,Status_Rumah,KKB,cluster
27,970000,4124000,17,18000000,8000000,1,1,0,0
32,1740000,10500000,29,111000000,76000000,10,1,0,2
28,410000,3900000,11,6750000,3750000,5,0,1,0
29,850000,5000000,11,12000000,5000000,8,0,1,0
22,630000,3900000,17,12250000,5250000,10,0,1,0
28,880000,5200000,35,34000000,14000000,5,1,0,0
30,850000,4000000,11,11000000,4000000,1,0,1,0
32,850000,5200000,11,14000000,7000000,5,1,1,0
29,530000,3885815,11,9500000,5500000,1,0,1,0
29,590000,3900000,23,12250000,4250000,5,1,1,0
45,580000,5200000,17,10500000,4250000,5,1,1,0
43,550000,3900000,17,10000000,4000000,0,1,1,0
22,670000,3900000,17,12250000,4750000,5,0,1,0
44,760000,8000000,11,10500000,4500000,0,0,1,0
54,1220000,6000000,23,35000000,20000000,1,1,0,0
42,460000,1560000,23,9000000,3000000,5,1,1,0
36,590000,4000000,11,7000000,2500000,1,1,1,0
24,1210000,5390200,11,14500000,4500000,1,0,1,0
21,300000,3900000,17,5250000,2250000,1,0,1,0
41,440000,4558000,11,5500000,2250000,1,1,1,0
34,850000,2300000,11,12000000,5000000,1,1,1,0
32,440000,3900000,17,7500000,3000000,5,0,1,0
26,550000,3510000,17,8750000,2750000,5,1,1,0
25,970000,4500000,11,17500000,9500000,1,0,1,0
45,630000,2000000,17,10500000,3500000,0,1,1,0
41,770000,4550000,23,18500000,6500000,1,1,1,0
20,630000,3600000,17,12000000,5000000,1,0,1,0
25,850000,4840000,11,14000000,7000000,1,0,1,0
27,550000,2608400,17,11000000,5000000,1,0,1,0
25,650000,1790000,17,10500000,3250000,1,0,1,0
39,550000,2632455,17,9500000,3500000,1,1,1,0
22,390000,4540450,17,8750000,4750000,1,0,1,0
26,520000,3900000,23,10500000,3500000,5,1,1,0
29,530000,3380000,11,8750000,4750000,5,0,1,0
44,530000,4000000,11,7000000,3000000,10,1,1,0
49,630000,3640000,17,10500000,3500000,5,1,1,0
26,390000,3200000,17,6000000,2000000,1,0,1,0
34,460000,3500000,23,9750000,3750000,10,1,1,0
42,630000,6000000,17,12500000,5500000,10,1,1,0
37,460000,3360000,23,11000000,5000000,10,1,1,0
47,780000,4160000,5,7250000,4250000,10,1,1,0
24,660000,1800000,11,7250000,2250000,5,0,1,0
24,720000,2754000,23,14000000,4250000,1,0,1,0
24,660000,2379500,11,7500000,2500000,1,0,1,0
45,1110000,7800000,17,80000000,65000000,5,1,0,2
30,590000,2925000,23,15500000,7500000,5,1,1,0
25,440000,2000000,17,8500000,4000000,1,0,1,0
47,560000,3900000,23,13400000,5900000,10,1,1,0
22,720000,2484162,17,12750000,4750000,1,0,1,0
48,460000,3900000,17,10500000,5500000,10,1,1,0
27,550000,3200000,17,9000000,3000000,10,1,1,0
26,660000,2860000,11,10500000,5500000,0,0,1,0
22,460000,2310000,17,9750000,4750000,1,0,1,0
29,1340000,4924573,17,26000000,9000000,1,1,0,0
24,760000,2379500,11,7500000,2500000,1,0,1,0
39,2460000,12000000,23,71000000,9000000,10,1,0,2
33,590000,3500000,11,9000000,4500000,0,0,1,0
19,800000,2272600,17,15500000,6500000,1,0,1,0
29,1030000,3000000,11,14250000,5750000,10,1,1,0
52,510000,4602000,17,8000000,2500000,10,1,1,0
32,720000,2400000,11,8000000,2500000,1,1,1,0
36,560000,3900000,23,12250000,4750000,5,1,1,0
30,1470000,2340000,5,11000000,5000000,5,0,1,0
41,460000,4500000,17,7250000,2250000,10,1,1,0
37,600000,1300000,17,9750000,3250000,0,1,1,0
32,530000,1300000,11,7500000,3500000,5,1,1,0
22,460000,1500000,17,7300000,2300000,10,0,1,0
47,600000,7800000,17,14000000,7500000,5,1,1,0
37,630000,1250000,17,12500000,5500000,1,1,1,0
56,590000,4000000,23,12250000,4250000,10,1,1,0
38,400000,2800000,23,8750000,3500000,5,0,1,0
44,300000,2847500,17,7250000,4250000,1,1,1,0
29,460000,3900000,17,7300000,2300000,0,0,1,0
55,330000,4200000,23,7000000,3000000,8,1,1,0
28,1090000,6617400,11,14500000,5500000,1,1,1,0
24,890000,8174000,17,15500000,5500000,1,0,1,0
24,720000,1500000,17,13750000,5750000,0,0,1,0
40,550000,2950000,17,14000000,8000000,5,0,1,0
32,550000,2080000,17,10000000,4000000,10,0,1,0
37,740000,2358000,23,19000000,9000000,1,0,1,0
29,660000,2124000,11,8000000,3000000,1,0,1,0
46,300000,3120000,17,6000000,3000000,5,0,1,0
46,380000,2600000,23,9500000,4500000,5,1,1,0
37,680000,2340000,23,15500000,6250000,0,0,1,0
32,350000,2700000,17,6000000,2500000,1,0,1,0
26,830000,2000000,17,15500000,6250000,1,0,1,0
50,800000,2730000,17,14500000,5500000,5,1,1,0
37,500000,10500000,23,10500000,4000000,10,1,1,0
40,380000,2143733,23,10500000,5500000,1,1,1,0
43,670000,8464119,17,12250000,4750000,1,1,1,0
40,760000,2652000,17,12250000,3750000,10,1,1,0
23,600000,3564000,17,9500000,3000000,1,0,1,0
35,740000,11700000,23,15500000,5500000,5,1,1,0
39,410000,3000000,11,6000000,3000000,0,0,1,0
54,590000,3250000,23,14500000,6500000,5,1,1,0
36,330000,6240000,23,7750000,3750000,5,0,1,0
36,1150000,3925200,23,30000000,12000000,1,0,0,0
31,560000,3100000,23,12750000,5250000,1,1,1,0
39,380000,3120000,23,9500000,4500000,5,1,1,0
42,2930000,14300000,23,101000000,51000000,0,1,0,2
33,610000,3900000,23,14500000,7500000,0,1,1,0
31,530000,4097900,11,7750000,3750000,1,1,1,0
46,530000,4250000,11,7250000,3250000,0,1,1,0
42,380000,2800000,23,7750000,2750000,0,1,1,0
40,730000,2600000,35,25000000,10000000,0,1,0,0
50,410000,5200000,11,7000000,4000000,5,1,1,0
48,1310000,4550000,11,30000000,20000000,0,1,0,0
44,630000,3120000,17,12250000,5250000,0,1,1,0
59,550000,5200000,17,9000000,3000000,5,1,1,0
35,800000,3640000,17,13750000,4750000,5,1,1,0
21,740000,4095000,23,17000000,7000000,5,0,1,0
32,480000,2100000,17,9000000,3750000,0,0,1,0
30,670000,1700000,17,12250000,4750000,0,1,1,0
37,660000,5200000,11,7500000,2500000,5,1,1,0
36,510000,2058000,17,12250000,6750000,1,1,1,0
34,560000,3117642,11,8750000,4500000,1,1,1,0
41,630000,2730000,17,16500000,9500000,5,1,1,0
39,630000,4000000,17,12250000,5250000,10,0,1,0
40,730000,2222890,11,9750000,4000000,1,1,1,0
29,970000,13000000,11,12000000,4000000,10,0,1,0
30,830000,2730000,17,15500000,6250000,5,0,1,0
36,590000,10000000,11,9000000,4500000,0,1,1,0
44,1590000,4546991,23,42000000,17000000,0,1,0,0
42,390000,3120000,17,7000000,3000000,5,1,1,0
38,460000,2501406,17,8500000,3500000,1,1,1,0
45,2640000,12000000,23,76000000,31000000,10,1,0,2
27,300000,1600000,17,9000000,6000000,1,0,1,0
29,550000,4160000,17,11000000,5000000,5,1,1,0
49,760000,5200000,11,12250000,5500000,5,1,1,0
24,380000,3109000,23,9750000,4000000,1,0,1,0
21,670000,4500000,17,12500000,4250000,1,0,1,0
52,380000,1560000,23,10000000,4250000,10,1,1,0
31,660000,4189112,11,8500000,2750000,1,1,1,0
32,810000,3600000,23,17000000,5250000,5,1,1,0
40,460000,3567000,17,16000000,10250000,1,1,1,0
56,460000,3900000,17,9500000,3750000,10,1,1,0
24,1000000,5000000,23,21000000,6500000,5,1,1,0
45,550000,5000000,17,17000000,10250000,10,1,1,0
21,900000,3782200,23,22000000,9000000,1,0,1,0
43,580000,12000000,17,10000000,3000000,10,1,1,0
44,1030000,6500000,11,20000000,10750000,10,1,1,0
41,460000,3340000,17,18000000,12250000,1,0,1,0
54,630000,7800000,17,13500000,5750000,8,1,1,0
39,510000,4312000,17,9500000,3250000,1,1,1,0
52,3330000,39000000,11,55000000,25000000,10,1,0,2
32,2450000,7800000,35,85000000,27000000,10,1,0,2
45,600000,3750000,17,11500000,4250000,8,1,1,0
49,760000,3480000,11,11000000,4250000,0,1,1,0
35,1100000,6300000,23,26000000,10000000,10,1,1,0
44,630000,800000,17,11500000,3750000,0,1,1,0
20,1440000,6396000,23,63000000,38000000,10,0,0,2
51,420000,3900000,23,9500000,3250000,10,1,1,0
54,760000,3750000,11,10000000,3250000,10,1,1,0
32,820000,3159500,11,10500000,3250000,1,1,1,0
38,460000,1200000,17,9500000,3750000,0,0,1,0
40,790000,3000000,11,10750000,3750000,5,1,1,0
45,1120000,3900000,11,15750000,5750000,10,1,1,0
39,1280000,7100000,11,18000000,7000000,7,1,1,0
33,510000,3900000,17,8980000,2730000,5,0,1,0
49,790000,1040000,11,10350000,3350000,5,1,1,0
55,4510000,7507500,35,170000000,63000000,5,1,0,2
43,2390000,2080000,35,87000000,31000000,10,1,0,2
26,800000,3500000,17,16450000,6700000,1,0,1,0
37,460000,3900000,17,12550000,6800000,5,1,1,0
37,1030000,6500000,11,15750000,6500000,5,1,1,0
52,520000,3900000,23,12250000,4500000,5,1,1,0
48,1420000,4375000,35,60000000,30000000,0,1,0,2
32,1490000,9000000,35,60000000,25000000,10,1,0,2
38,460000,4275000,17,8980000,3230000,1,0,1,0
31,580000,3857500,17,10050000,3050000,1,0,1,0
49,660000,1560000,11,8550000,2800000,8,1,1,0
38,550000,6000000,17,10350000,3600000,5,1,1,0
44,1860000,10500000,11,23000000,7000000,5,1,1,0
23,850000,2900000,11,12150000,4400000,2,0,1,0
55,520000,5760000,23,13550000,5800000,0,1,1,0
25,630000,4500000,17,12250000,4500000,1,0,1,0
45,660000,3900000,11,10050000,4300000,5,1,1,0
23,1010000,6000000,17,17150000,5150000,5,0,1,0
35,760000,5000000,17,17850000,8600000,5,0,1,0
48,1250000,6240000,5,11450000,5700000,5,1,1,0
41,800000,2800000,17,13950000,4200000,1,0,1,0
45,3370000,26250000,35,120000000,40000000,10,1,0,2
39,850000,6000000,11,12950000,5200000,5,1,1,0
40,1490000,6000000,35,60500000,25500000,10,1,0,2
50,1730000,8000000,23,60000000,30000000,5,1,0,2
33,380000,1600000,23,12250000,6500000,10,1,1,0
34,460000,5200000,17,11550000,5800000,10,1,1,0
45,2190000,19200000,35,125000000,73000000,10,1,0,2
29,660000,5850000,11,11150000,5400000,5,1,1,0
25,550000,5070000,17,12950000,6200000,5,1,1,0
22,590000,1560000,23,18550000,9800000,10,0,1,0
39,2360000,45000000,35,80000000,24000000,1,1,0,2
43,460000,4000000,17,9000000,3250000,1,0,1,0
50,850000,4200000,11,12250000,4500000,5,1,1,0
42,660000,2000000,11,10050000,4300000,1,1,1,0
42,460000,1300000,17,9700000,3950000,5,1,1,0
46,850000,8567000,11,11850000,4100000,0,1,1,0
27,630000,5200000,17,11850000,4100000,5,1,1,0
43,380000,1410000,23,8980000,3230000,1,1,1,0
31,590000,2600000,23,14500000,5750000,10,1,1,0
35,720000,7800000,17,13250000,4500000,10,1,1,0
56,910000,10400000,11,12900000,4650000,5,1,1,0
34,460000,2250000,17,14250000,8500000,10,1,1,0
21,550000,5200000,17,9700000,2950000,10,0,1,0
42,3330000,35000000,35,120000000,42000000,10,1,0,2
36,2640000,19500000,35,100000000,38000000,5,1,0,2
35,2050000,12000000,35,75000000,27000000,10,1,0,2
56,2560000,12560000,35,95000000,35000000,10,1,0,2
21,660000,3900000,11,11850000,6100000,5,0,1,0
39,850000,7800000,11,12250000,4500000,10,1,1,0
40,460000,4000000,17,18550000,12800000,1,1,1,0
48,3840000,24960000,17,150000000,97000000,5,1,0,2
25,480000,3900000,23,10050000,3050000,5,1,1,0
41,660000,3000000,11,8280000,2530000,1,1,1,0
49,2770000,18000000,35,100000000,35000000,10,1,0,2
34,660000,1820000,11,9000000,3250000,5,1,1,0
45,1920000,6000000,35,70000000,25000000,0,1,0,2
45,630000,6500000,17,11850000,4100000,10,0,1,0
36,460000,2295000,23,11550000,4800000,1,1,1,0
51,1580000,14000000,35,57000000,20000000,10,1,0,0
32,760000,3900000,11,10750000,4000000,5,0,1,0
24,520000,3900000,23,12250000,4500000,1,1,1,0
42,2780000,19500000,35,105000000,39000000,5,1,0,2
45,2990000,24000000,23,80000000,28000000,10,1,0,2
45,2070000,7000000,35,70000000,21000000,0,1,0,2
43,630000,9100000,17,12150000,4400000,1,1,1,0
34,460000,3510000,17,8550000,2800000,10,1,1,0
49,380000,3900000,23,11550000,5800000,5,1,1,0
28,670000,6500000,23,16450000,6700000,10,0,1,0
25,600000,2400000,17,11550000,4300000,5,0,1,0
43,1920000,10400000,35,70000000,25000000,7,1,0,2
55,1880000,12000000,35,68000000,24000000,10,1,0,2
25,720000,3900000,17,13650000,4900000,5,1,1,0
41,2680000,19500000,35,85000000,30000000,10,0,0,2
44,670000,3920000,23,14250000,4500000,10,1,1,0
39,1840000,58500000,23,53000000,21000000,10,1,0,2
34,460000,3600000,17,8980000,3230000,1,1,1,0
44,850000,10000000,11,12250000,4500000,0,1,1,0
32,580000,2820000,17,10350000,3350000,1,0,1,0
24,1650000,11700000,35,50000000,15000000,5,0,0,0
38,420000,3000000,23,9680000,3430000,5,1,1,0
29,3910000,15600000,23,90000000,27000000,5,1,0,2
33,2260000,23400000,35,83000000,30000000,5,1,0,2
38,2390000,45000000,35,100000000,44000000,10,1,0,2
51,1800000,11700000,29,57000000,20000000,10,0,0,0
39,2280000,8500000,35,115000000,61000000,10,1,0,2
46,1550000,5720000,23,70000000,45000000,7,1,0,2
34,630000,10000000,17,12250000,4500000,10,1,1,0
37,1670000,10000000,35,63000000,24000000,0,1,0,2
55,4560000,22500000,23,125000000,45000000,10,1,0,2
46,1700000,20000000,35,54000000,19000000,10,0,0,0
50,4940000,75000000,35,177000000,61000000,5,1,0,2
49,3000000,13500000,23,81000000,29000000,8,1,0,2
24,1490000,7800000,35,55000000,20000000,10,1,0,0
33,1370000,10200000,35,50000000,18000000,10,0,0,0
52,2120000,23000000,35,80000000,35000000,10,1,0,2
28,1220000,4500000,35,39000000,14000000,10,1,0,0
55,4720000,9000000,35,175000000,63000000,3,1,0,2
55,3060000,15000000,35,100000000,35000000,10,1,0,2
29,1370000,7500000,35,50000000,18000000,10,1,0,0
41,1610000,16000000,35,51000000,18000000,10,1,0,0
43,2190000,12000000,35,70000000,25000000,10,1,0,2
56,1590000,16500000,23,51000000,26000000,10,1,0,0
37,2710000,7020000,23,73000000,26000000,10,1,0,2
35,8600000,45500000,17,215000000,97000000,5,1,0,2
44,1960000,12750000,35,84000000,38000000,0,1,0,2
56,3770000,19500000,23,110000000,44000000,10,1,0,2
49,1240000,4651446,23,40000000,20000000,0,0,0,0
51,1890000,4835400,35,70000000,30000000,0,1,0,2
35,1650000,39000000,35,85000000,50000000,10,1,0,2
28,3830000,17500000,11,52000000,19000000,10,1,0,0
33,2610000,3498340,23,100000000,58000000,3,1,0,2
38,2350000,5250000,35,85000000,30000000,0,0,0,2
32,1580000,12698400,35,69000000,32000000,5,0,0,2
52,1660000,10500000,35,54000000,20000000,10,1,0,0
41,2040000,18310000,23,50000000,18000000,10,1,0,0
50,1900000,28000000,17,90000000,64000000,5,1,0,2
47,1490000,6600000,35,55000000,20000000,10,1,0,0
39,3540000,48750000,35,120000000,36000000,5,1,0,2
33,2730000,15000000,23,75000000,32000000,10,1,0,2
41,1770000,5308913,35,65000000,23000000,1,1,0,2
42,3670000,130000000,35,125000000,38000000,10,1,0,2
35,1550000,9600000,23,40000000,15000000,7,1,0,0
34,1490000,26250000,35,60000000,25000000,10,1,0,2
40,2870000,16800000,35,110000000,51000000,10,1,0,2
45,2310000,11077988,35,80000000,31000000,1,1,0,2
49,2350000,15000000,35,85000000,30000000,10,1,0,2
