Usia,Angsuran,Pendapatan,Tenor,OTR,Uang_Muka,Pekerjaan,Status_Rumah,KKB,cluster
26,370000,3506000,11,6300000,3300000,1,0,1,0
29,940000,2372501,5,6300000,2300000,1,0,1,0
22,470000,2040895,17,7500000,2500000,1,0,1,0
30,370000,5102837,17,6500000,2500000,1,1,1,0
23,370000,4104000,11,15000000,12000000,1,0,1,0
28,1360000,4924573,17,30000000,15000000,1,0,0,0
28,500000,1800000,11,6300000,2300000,1,0,1,0
36,1180000,3000000,5,8800000,3800000,1,0,1,0
36,940000,2250000,5,7000000,3000000,1,0,1,0
54,470000,3000000,17,15500000,10500000,5,1,1,0
29,610000,7898600,23,15000000,7000000,1,1,1,0
37,310000,2000000,11,4500000,2000000,5,1,1,0
41,250000,3000000,11,3700000,1700000,5,1,1,0
35,900000,8000000,23,25000000,15000000,10,1,0,0
49,370000,1500000,11,6500000,3500000,5,1,1,0
28,1180000,2416031,17,60000000,47000000,1,1,0,2
48,330000,5000000,17,6000000,2500000,0,1,1,0
33,1360000,6000000,17,35000000,20000000,10,1,0,0
29,230000,2300000,23,5500000,2500000,1,1,1,0
46,1590000,3000000,23,40000000,18000000,5,1,0,0
36,500000,2800000,11,6500000,2500000,1,1,1,0
57,620000,5000000,11,12000000,7000000,5,1,0,0
41,1170000,6000000,11,16000000,6500000,10,1,1,0
42,370000,2000000,17,6500000,2500000,5,1,1,0
43,310000,2000000,11,3700000,1200000,10,1,1,0
25,280000,1869150,17,5000000,2000000,1,0,1,0
49,560000,4000000,11,6900000,2400000,5,1,1,0
53,500000,3000000,11,7500000,3500000,5,1,1,0
21,870000,2600000,17,16500000,7000000,1,0,1,0
33,560000,2758000,11,7500000,3000000,1,1,1,0
59,1470000,4260800,23,40000000,20000000,0,1,0,0
34,1250000,2337000,23,30000000,13000000,1,1,0,0
28,1170000,9000000,11,15000000,5500000,10,1,1,0
28,1470000,5500000,23,35000000,15000000,10,1,0,0
44,470000,2000000,5,5000000,3000000,0,0,1,0
22,390000,2000000,23,8000000,3000000,5,0,1,0
30,250000,2000000,11,5500000,3500000,5,1,1,0
40,1470000,6000000,23,35000000,15000000,10,1,0,0
37,240000,2071228,17,4300000,1800000,1,0,1,0
47,560000,2000000,11,8000000,3500000,10,1,1,0
58,1470000,9000000,23,35000000,15000000,0,1,0,0
36,280000,2500000,17,5000000,2000000,1,0,1,0
35,350000,3514600,23,7500000,3000000,0,1,1,0
24,440000,2600000,11,5500000,2000000,1,0,1,0
36,370000,2830000,17,7000000,3000000,1,1,1,0
